Question,Answer
Como faco para visualizar extrato do meu emprestimo,\Acesse o Internet Banking menu Emprestimos gt Consulta gt Extrato de Emprestimo Contratado \
Como eu ativo a minha conta na Livelo,\Para ativar a sua conta na Livelo basta acessar o site wwwlivelocombrbradesco clicar em \Ativar Conta\ e inserir seu CPF e data de nascimento No proximo passo selecione o telefone no qual voce deseja receber o codigo de ativacao e como quer receber por ligacao ou SMS Digite o Codigo na tela de ativacao e pronto Voce tambem pode entrar em contato com a Central de Atendimento no numero do verso do seu Cartao de Credito e solicitar o seu codigo de ativacao Apos recebelo voce devera acessar o site wwwlivelocombr e utilizar o codigo para ativar sua conta Caso seus numeros estejam desatualizados entre em contato com a Central de Atendimento no numero do verso do seu Cartao de Credito \
E possivel abrir conta pela Internet,\Online voce pode preencher e enviar uma proposta de abertura de conta A agencia escolhida recebe seus dados e entra em contato para passar efetivar o processo \
O que e Plugin Componente de Seguranca,\Saiba o que e e como instalar aqui \
Sou titular do Certificado Digital e esqueci minha senha pessoal PIN O que devo fazer,\Voce pode redefinir sua senha pessoal por meio da PUK senha adicional cadastrada no momento da criacao do certificado \
No Leasing posso devolver o bem a qualquer momento,\Nao Esta e uma das opcoes que pode ser exercida somente no termino do contratoA devolucao antecipada do contrato nao cessa as obrigacoes contratuais Neste caso o bem e vendido em leilao e caso o valor da venda nao seja suficiente para liquidar o saldo devedor a diferenca sera cobrada do arrendatario \
Quais sao os layouts disponiveis para a Conciliacao Bancaria,\A Conciliacao Bancaria disponibiliza 3 modelos 200 posicoes 240 posicoes versao 30  padrao FEBRABAN e 240 posicoes versao 50 \
Como alterar minha Senha,\Caso saiba a senha voce pode alterala no atendimento eletronico ligando na CentralnbspCaso nao recorde da senhanbsppodera solicitar uma nova carta com a senha entrando em contato por meio do nosso site pelo Fale Conosco ou na nossa central de atendimento \
Como faco para consultar o Saldo,\Voce consegue obter o saldo da fatura por meio do nosso site na opcao ACESSE SUA FATURA ou solicitandonbsppelo Fale Conosco A consultanbspesta disponivel tambem em nossa Central de Atendimento \
Ainda nao recebi meu Token TAN Code Cartao Chave de Seguranca BradescoO que devo fazer,\Comparecer a qualquer Agencia Bradesco e cadastrar um novo Dispositivo de Seguranca de preferencia um Token no Celular ou um Token Alem disso compareca a sua Agencia detentora da conta e efetue a atualizacao cadastral Se estiver no Japao procedimentos por meio de procuracao \
O uso da chave de seguranca nas Maquinas de Autoatendimento e obrigatorio,\Nao Atualmente alem das chaves de seguranca voce pode usar a Biometria ou as Letras de Acesso \
Como usar a Validacao Digital,\Clique aqui e saiba como usar a Validacao Digital Com o Token no Celular ou Token Fisico voce aumenta o limite de transferencia entre ContasBradesco e DOCTED sem precisar ir a agencia \
Quais sao as caracteristicas da Conta Salario,\ Os recursos creditados sao movimentaveis por meio de cartao de debito ou Recibo de Retirada nao sendo movimentaveis por meio de cheques  Os recursos creditados na contasalario poderao ser sacados nas maquinas de Autoatendimento do Bradesco Dia amp Noite e do Banco24Horas nos Guiches de Caixa das Agencias e nas Unidades do Bradesco Expresso  Poderao ser efetuados ate 5 saques por credito realizado pelo empregador A partir do 6 saque sera cobrada tarifa de acordo com o Folheto de Tarifas  Servicos Bancarios vigente  Um evento de TED Transferencia Eletronica Disponivel ou TEC Transferencia Especial de Credito por credito efetuado pelo empregador  Dois extratos mensais por meio do Autoatendimento ou diretamente no Guiche de Caixa  Nao possui acesso por meio do Internet Banking  Nao possui acesso por meio do Bradesco Celular Fone Facil e permitido o acesso ao atendimento eletronico e personalizado para realizacao de servicos como pagamentos transferencias cadastramento de Debito Automatico etc \
Qual o limite diario de saque nas Maquinas de Autoatendimento,\Confira aqui \
Como faco para cadastrar uma senha para acessar os Canais Digitais,\Para acessar os Canais Digitais voce deve cadastrar a Senha de 4 digitos Confira aqui todas as opcoes de cadastramento \
Onde posso obter o layout de 400 posicoes da Cobranca Escritural Bradesco CEB,\Va ate sua agencia e procure o Gerente de Relacionamento \
E necessario comprovar o uso dos recursos do Capital de Giro,\Nao Tratase de linha de credito com o objetivo de suprir as necessidades de recursos para o giro operacional das empresas \
Tenho que comprovar renda para abrir uma conta universitaria,\Nao Para abrir sua conta universitaria voce nao precisa comprovar renda nem efetuar deposito minimo \
Como faco para abrir uma ContaSalario,\Para abrir a contasalario e preciso haver um convenio entre o banco e a empresa onde voce trabalha Ela e aberta pelo empregador que e responsavel pela identificacao do titular da conta Esta conta so pode receber creditos provenientes da folha de pagamento e nao e possivel movimentala por cheques \
Como pagar titulos DDA,\Consulte agende e pague seus boletos eletronicamente Com o DDA  Debito Direto Autorizado voce acessa consulta e paga o boleto eletronico pelo Internet Banking Fone Facil ou nas Maquinas de Autoatendimento \
Se eu perder meu celular ou for furtado roubado outra pessoa podera acessar minha conta e minhas senhas,\Nao pois alem da agencia e conta e necessario informar a senha de 4 digitos para o acesso e essa informacao nao fica armazenada no aparelho \
Servicos Bradesco Saude,\Para informacoes e servico relacionado ao Bradesco Saude clique aqui nbsp \
Preciso transferir meus pontos para o Programa de Pontos Livelo,\Nao Seus pontos serao transferidos automaticamente para o Programa de Pontos Livelo em ate 05 dias uteis apos o pagamento da fatura \
Como faco para alterar minhas Letras de Acesso,\E so acessar sua conta pelo Internet Banking e escolher as opcoes Personalizacao e Seguranca gt Letras de Acesso gt Cadastrar ou alterar Letras de Acesso para utilizacao no autoatendimento BDN Se preferir voce pode alterar suas Letras de Acesso em qualquer Maquina de Autoatendimento na opcao \Personalizacao e Seguranca\ em \Cadastramento ou Alteracao das Letras das Acesso \
Como abrir uma conta no Bradesco,\Abrir conta no Bradesco e simples voce pode preencher e enviar uma proposta de abertura de contanbspOnlineselecionar a agencia mais proxima A agencia escolhida recebe seus dados e entra em contato para passar efetivar o processo nbsp \
Como faco para desbloquear minhas Letras de Acesso,\Ligue para o Fone Facil ou va ate uma Agencia Bradesco \
Qual e o codigo IBAN,\Ligue para o Fone Facil ou va em qualquer Agencia Bradesco para solicitar o codigo \
Posso transferir minha cota de consorcio Bradesco,\Sim E possivel transferir sua cota mediante previa e expressa anuencia da Bradesco Consorcios e apos o pagamento da taxa de cessao Para consultar o valor da taxa e efetivar a transferencia va ate uma Agencia Bradesco \
Programar o Rotativo ou Parcelar a Fatura do Cartao de Credito,\O Credito Rotativo e ideal para voce que nao quer pagar o valor total da sua fatura no vencimento mas pretende quitar o saldo total em breve O Parcelamento de Fatura possui menores juros que o rotativo e e ideal para voce que precisa de um pouco mais de tempo para organizar seu orcamento Saiba mais nbsp \
Como alterar o limite do meu cartao,\Voce consegue verificar a possibilidade de alterar o limite do seu cartao por meio do nosso site pelo Fale Conosco ou na nossa Central de Atendimento \
Como faco para consultar o comprovante de um pagamento que fiz na Maquina de Autoatendimento,\E possivel emitir o documento ate 1 ano apos a data do pagamento para as transacoes realizadas no Autoatendimento No autoatendimento va ate a opcao Pagamentos  Consultas Alteracoes Cancelamentos Recibos \
Como faco para resgatar o valor de um titulo de capitalizacao,\Para titulos adquiridos nos Canais Digitais o resgate podera ser solicitado atraves do Fone Facil Para titulos adquiridos nas agencias voce podera solicitar em qualquer Agencia Bradesco levando os seus documentos pessoais O valor estara disponivel em conta ou na agencia na qual solicitou em ate 15 dias uteis conforme clausula das Condicoes Gerais do plano \
Qual senha devo usar para acessar o Bradesco Celular,\Para acessar voce precisa da Senha de 4 Digitos a mesma usada no Fone Facil e no Internet Banking \
Qual e o valor da tarifa de manutencao da conta universitaria,\Cliente Universitario tem 6 meses de isencao na cesta de servicos Acompanhe o valor para os demais meses aqui \
Como faco para cadastrar meu curriculo no Bradesco,\Preencha nosso formuario online \
Qual o prazo de compensacao de um DOC e uma TED,\Os valores das tranferencias via TED ficam disponiveis em conta no mesmo dia Para os valores das transferencias via DOC o prazo e de 1 dia util para ser compensado Saiba mais aqui \
Posso alterar a quantidade de servicos em minha cesta de servicos,\Nao e possivel alterar a quantidade de servicos de sua cesta mas voce pode optar por uma cesta de servicos que atenda mais as suas necessidades Escolha a sua aqui \
Como cadastrar contas de favorecidos no Internet Banking,\Pelo Bradesco Internet Banking voce cadastra contas de favorecidos e aumenta o limite de transferencias para ate R 50 mil Para isso basta utilizar a Validacao Digital Clique aqui e saiba como funciona Para realizar o cadastramento acesse sua conta e escolha as opcoes Transferencias gt Cadastramento de Contas e Limites Confira a tabela de canais limites e horarios para transferencia \
Por que aparece o erro acesso nao autorizado,\O Site Bradesco Cidadetran trabalha com o cadastramento do computador permitindo o acesso somente por este equipamento retorne ao seu computador de acesso habitual Caso apresente a mesma mensagem entre emnbspcontato com a Central de Atendimento Bradesco Cidadetran pelos telefones 08000145333 ou 11 36522101 Ou enviar email para despachantesbradescocombr  autoescolabradescocombr informando os dados de seu cadastro  Nome Titular CPFCNPJ Agencia Conta corrente Numero de serie do Token Master \
Quais sao as garantias do Capital de Giro,\Cessao Fiduciaria de Duplicatas ou Direitos Creditorios Cheques Alienacao Fiduciaria de Bens Moveis e Imoveis Hipoteca Aval Recebiveis Cartoes ORPAGS e Aplicacao Financeira entre outras \
Posso transferir o Leasing para outra pessoa,\Sim A transferencia Cessao de Contrato estara sujeita a aprovacao de credito e nao podera ser feita de Pessoa Juridica para Pessoa Fisica ou viceversa \
O que e o servico de Conciliacao Bancaria,\E um servico que permite sua empresa fazer movimentacoes financeiras na conta via transmissao de dados Conheca mais e saiba como solicitar aqui \
Qual o horario de funcionamento das Maquinas de Autoatendimento,\As maquinas localizadas na area interna das agencias funcionam das 6h as 22h e as que encontramse nas ruas funcionam 24h por dia 7 dias por semana Os equipamentos que estao dentro de lojas shoppings faculdades entre outros seguem os horarios dos proprios estabelecimentos CONFIRA LOCAIS E HORARIOS DA NOSSA REDE DE ATENDIMENTO AQUI nbsp nbsp \
Como devo fazer a integracao dos meios de pagamento em minha loja virtual,\A integracao deve ser feita de preferencia por um tecnico que conheca sistemas ou pelo desenvolvedor do site Nos manuais entregues estao descritos todos os procedimentos para a integracao mas se surgirem duvidas entre em contato com o Suporte Tecnico ao Lojista pelo email kitscopuscombr ou pelo telefone 11 39093637 de segunda a sextafeira das 8h as 18h \
O que devo fazer para contratar um emprestimo,\As condicoes de contratacao de emprestimos variam de acordo com a modalidade escolhida Encontre aqui o seu credito e confira os requisitos \
Posso trocar o veiculo durante a vigencia do contrato de Leasing,\Sim Voce pode solicitar a substituicao na Agencia Bradesco onde contratou o Leasing O novo veiculo deve ter as mesmas caracteristicas e valor igual ou maior ao veiculo do contrato \
O Bradesco possui atendimento Online,\Sim o Bradesco disponibiliza chats exclusivos para atendimento aos seus clientes Clique aqui e conheca \
Como faco para cancelar minha cota,\Para informacoes sobre cancelamento ligue para a Centralnbspde Atendimento ao Consorciado nos telefones 40044436 capitais e regioes metropolitanas e 08007224436 demais localidades  de 2 a 6 feira das 8h as 20h \
O que e o Fidelidade Bradesco Cartoes,\E um programa de recompensa do Bradesco Cartoes no qual os gastos do Cartao de Credito Bradesco sao convertidos em pontos Livelo e podem ser trocados por milhares de recompensas \
Requisitos necessarios para acesso ao Cidadetran,\Acessar somente pelo Internet Explorer 9 versao superior adicionar no modo de exibicao de compatibilidade nao acessar por outro navegador pois nao tera como imprimir Adobe Reader 11 em Portugues Java 6 Win Zip Liberar o Pop Ups Colocar o site como confiavel Liberar os Dowloads Ferramentas gtgt Opcoes da Internet gtgt Nivel Personalizado \
Meu Token esta com defeito,\Ligue para Central de relacionamento Cidadetran 11 36522101 ou 08000145333 para solicitar a substituicao de seu Token esteja com o dispositivo em maos \
Como encontro uma Maquina de Autoatendimento proxima a mim,\Clique aqui ou via aplicativo na opcao Rede de Atendimento \
Qual o prazo para restabelecimento do limite do cartao de credito,\O restabelecimento do limite donbspcartao de credito depende da forma de pagamento Confira aqui em qual regra seu cartao de credito se enquadra \
Como liberar a Funcao Credito do Cartao de Debito Bradesco,\Clique aqui para saber como fazer anbsp Ativacao da Funcao Credito do cartao de debito \
Informacoes sobre os programas de recompensa Bradesco Cartoes,\Todos os Cartoes Bradesco podem participar de algum dos programas de recompensas e acumular pontos milhas ou credito Clique aqui e saiba como consultar ounbsp cadastrarnbspo cartao de credito em um dosnbspprogramas de recompensas Voce ainda encontrara informacoes de como resgatar ou transferir os pontos creditosnbspou milhas acumuladas nbsp \
Como faco para acessar minha conta pelo Internet Banking,\Entenda aqui o passo a passo Acesse agora \
Posso antecipar o pagamento do emprestimo,\Sim voce pode antecipar o pagamento de seu Credito Pessoal pelonbspInternet Banking Fone Facilnbsp ou em sua agencia Para antecipar o pagamento de seu CDC ou Consignado acesse onbspInternet Bankingnbspou va ate sua agencia \
Como faco para pedir a 2 via de extratos de conta,\Voce pode consultar salvar e imprimir o extrato de sua conta pelonbspInternet Banking Acesse a opcao Saldos e Extratos gt Extrato Ultimos Lancamentos ou Extrato Mensal  Por Periodo E possivel consultar tambem pelo Bradesco Celular Fone Facil ou Maquinas de Autoatendimentonbsp Saiba Mais \
E preciso desbloquear os taloes de cheques,\Sim Conheca aqui as opcoes de desbloqueio \
O que e Capital de Giro,\E uma linha de credito para atender as necessidades de caixa da sua empresa destinada a financiar o ciclo operacional e honrar compromissos como compra de materiasprimas mercadorias pagamento a fornecedores salarios tributos etcConheca mais detalhes aqui \
Como faco para contratar um financiamento de CDC,\Escolha aqui  na aba CDC a modalidade ideal para sua necessidade Na pagina de cada produto voce encontra a relacao de documentos necessarios Entregueos em sua agencia se voce e correntista ou na agencia indicada na proposta se nao e correntista para dar continuidade ao processo de contratacao nbsp \
Como faco para contratar um Limite de Credito Pessoal,\E simples Se o seu Limite de Credito Pessoal Bradesco ja esta preaprovado basta contratar o limite pelo Internet Banking Bradesco Celular Fone Facil ou nas Maquinas de Autoatendimento Caso seu limite ainda nao esteja preaprovado acesse o Internet Banking preencha e imprima o formulario de solicitacao de limite para entregar na sua Agencia Bradesco \
Qual o valor minimo de entrada do leasing,\O valor de entrada depende da aprovacao de credito podendo ser financiado atenbsp 100 do valor do bem \
O que devo fazer para abrir uma conta se o comprovante de residencia nao esta em meu nome,\Va ate a agencia mais proxima com o ultimo comprovante de residencia conta de agua gas luz ou telefone e uma declaracao da pessoa na qual a o comprovante esta no nome mencionando que voce reside naquele endereco Essa declaracao deve ter firma reconhecida em cartorio \
Onde obtenho o layout 200 posicoes do OCT,\Procure seu Gerente de Relacionamento \
Como realizar recarga de celular,\Ficou sem creditos no celular Nao precisa se preocupar use a internet para recarregar de onde voce estiver Acesse sua conta e escolha as opcoes Celulares gt Recarga de Celular Recarregar Celular PrePago \
Como solicitar uma nova senha,\Para o usuario Master solicite atraves do Fale Conosco  Preencher o Formulario selecione Consulta Familia do produto ou servico Internet Produto ou servico Site Bradesco Cidadetran Assunto Acesso marque a opcao voce e cliente Bradesconbspno campo Mensagem solicite o reenvio da senha do usuario Master Para os demais usuarios o desbloqueio enbspfeito pelo usuario Master no site Bradesco Cidadetran em Usuarios Relacionados Clique aqui para preencher o formulario Ou enviar email para despachantesbradescocombr  autoescolabradescocombr informando os dados de seu cadastro  Nome Titular CPFCNPJ Agencia Conta corrente Numero de serie do Token Master \
Como faco para saber o saldo ou a posicao dos meus titulos de capitalizacao pela internet,\Acesse sua conta pelo Internet Banking e escolha as opcoes Capitalizacao gt Consulta de Titulos gt Posicao de Titulos \
Quero acessar e consultar meu cartao de credito pelo Internet Banking O que devo fazer,\Se voce e Correntista Bradesco acesse sua contanbspe escolha a opcao Cartoes Se voce nao e correntista faca seu acesso com seu CPF Se precisa de ajuda como o acesso por CPF clique aqui Voce tambem pode acessar pelo App de Cartoes de Credito nbsp \
Posso bloquear o proximo pagamento de uma conta que esta em debito automatico,\Voce tem a opcao de bloquear o pagamento agendado caso nao concorde com o valor ou por outro motivo Para isso acesse sua conta Se preferir ligue para o Fone Facil Esse servico esta disponivel das 4h as 17h ate o dia do vencimento O bloqueio do pagamento nao cancela o servico de debito automatico \
No acionamento da ordem de protesto o sistema apresenta a mensagem \Situacao do Titulo Invalida para Protesto\ O que pode ter acontecido,\O sistema apresentara essa mensagem para os locais onde o servico encontrase indisponivel por problemas no cartorioAs instrucoes acionadas via arquivoremessa serao bloqueadas e informadas no arquivoretorno com a ocorrencia 32 Instrucao Rejeitada e 39 Pedido de Protesto nao permitido para o titulo \
O que mudou no Fidelidade Bradesco Cartoes com o Lancamento da Livelo,\Saldo de Pontos A transferencia do seu saldo atual do Fidelidade Bradesco Cartoes sera automatica para a Livelo Apos a ativacao da sua conta voce podera consultar seu saldo no site Livelo ou por meio do APP Livelo disponivel para iOS e Android Acumulo Os seus novos pontos acumulados no Fidelidade Bradesco Cartoes se concentrarao de forma automatica em sua conta Livelo Eles estarao disponiveis em ate 5 dias uteis apos o pagamento da fatura Resgate de Pontos O resgate dos seus pontos que antes era feito por meio do bradescocombrcartoesfidelidade ou pela Central de Atendimento Bradesco agora sera realizado pelo site livelocombrbradesco ou pela Central de Relacionamento LiveloLembrese para resgatar e necessario ativar a sua conta Livelo Opcoes de Resgate Voce tera muito mais opcoes de resgate Sao mais de 500 mil recompensas passagens aereas estadias em hoteis e produtos diversos como celulares vestuario itens para casa entre outros As transferencias de pontos para os parceiros do Fidelidade Bradesco Cartoes permanecem como Multiplus Smiles Victoria da TAP Programa Amigo TudoAzul e Credito de Combustivel Shell Resgate  Dinheiro Possibilidade de completar o valor de qualquer resgate utilizando os Cartoes de Credito Bradesco \
O site da Empresa Parceira para os processos de transferencia de titularidade dos Planos de Consorcio e confiavel,\Sim a Empresa e homologada pela Bradesco Consorcios e esta preparada para atender as solicitacoes \
Tenho uma divida com o banco eou cartao de credito o que devo fazer,\Para regularizar dividas vinculadas a conta corrente eou cartao de credito verifique as formas de acesso clicando aqui \
Nao sou correntista mas quero renegociar meu cartao de credito O que devo fazer,\E possivel realizar a renegociacao atraves das centrais de atendimento para localizar a central do seu Cartao Clique aquinbsp \
O acesso a conta pelo celular tem algum custo,\O Bradesco nao cobra nada por esse servico No entanto o pacote de dados da internet e tarifado de acordo com o plano da sua operadora Consultea em caso de eventuais duvidas \
Onde posso consultar o valor de cota do fundo que possuo,\Confira o historico de cotas \
Quero abrir ContaPoupanca Facil O que devo fazer,\Ao abrir sua contacorrente e reservada automaticamente uma contapoupanca com a mesma numeracao Para ativala basta fazer transferencias ou depositos \
Gerei uma remessa pelo OBB Plus mas ela nao aparece na lista para transmissao Por que,\Outro usuario pode ter estornado esta remessa ou voce pode nao ter permissao para fazer a transmissao \
Como conversar com o SAC ou Ouvidoria,\Caso queira registrar sugestoes elogios consulta ou reclamacoes o nosso SAC Alo Bradesco esta disponivel na internet ou na Central de atendimento 24 horas e 7 dias por semana Acesse a pagina do SAC Ouvidoria e escolha a melhor opcao de atendimento Clique aqui nbsp \
Como faco para contratar um Leasing,\Correntista va ate sua agencia com o ultimo comprovante de renda Nao correntista voce precisa abrir uma conta e liberar o credito Para isso va ate uma Agencia Bradesco com os documentos originais RG CPF comprovantes de residencia e renda \
2 via de comprovante de pagamento,\Informamos que encontrase disponivel no site a emissao de segunda via de recibos ate o periodo de 1 ano Para tanto se faz necessario acessar os menus \Controle Pagtos\ \2 Via de Comprovantes\ Preencher o Campo Placa ou \CPF\ quando for taxa de CNH e o Tipo de Pagamento com intervalo de pesquisa de 30 dias Acessar sempre pelo o Internet Explorer \
Como renegociar um emprestimo pessoal,\Voce pode renegociar um emprestimo pessoal pelo Aplicativo Bradesco em qualquer dia das 6h As 17h45min Se preferir fazer a renegociacao pelo Internet Banking Autoatendimento ou Fone Facil o horario e o mesmo  das 6h as 17h45min mas o servico esta liberado apenas em dias uteis Esta sem a senha de acesso aos Canais Digitais Nao tem problema Clique aqui e envie uma proposta de renegociacao a sua agencia renegociar renegociacao negociar negociacao emprestimo pessoal atraso acordo dividaDivida de credito renegociacao de dividas contrato \
Como funciona a Transferencia de Divida do meu financiamento,\Acesse o sitenbspou ligue para a Central de Relacionamento nos telefones 40044433 capitais e regioes metropolitanas ou 0800 722 4433 demais localidades nbsp \
Qual o telefone da central Bradesco Apoio ao Internet Banking e Bradesco Celular,\3003 0237 capitais e regioes metropolitanas 0800 701 0237 demais regioes e 55 11 3003 0237 para ligacoes do exterior O atendimento acontece de segunda a sextafeira das 6h30 a 0h e aos sabados domingos e feriados das 8h as 22h Voce tambem pode acessar o chat exclusivo para duvidas sobre o Internet Banking \
Quando tento acessar a conta sao solicitadas minhas senhas de 4 e 6 digitos e as 70 combinacoes da chave de seguranca Essa tela e do Bradesco,\Nao tratase de uma tela falsa No acesso a conta pelo Internet Banking sao solicitados sua senha de seguranca e somente 1 posicao da chave de seguranca Caso tenha digitado as informacoes cadastre uma nova Senha de 4 Digitos e va ate sua agencia para trocar seu dispositivo de seguranca e solicitar uma nova Senha de 6 Digitos \
Quero trocar de agencia Qual agencia devo procurar a antiga ou atual,\A TRAG e a transferencia de conta para outra agencia que deve ser solicitada na agencia de destino ou seja aquela em que voce deseja para onde a conta seja transferida \
Onde posso simular um emprestimo,\Clique aquinbspe conheca nossas solucoes de credito \
Em caso de perda roubo furto ou extravio do cartao Vale Pedagio o que devo fazer,\Voce deve cancelar o cartao e pedir um novo E so ligar para a Central de Atendimento Cartao Bradesco Transportes e Visa Vale pedagio Capitais e regioes metropolitanas 4003 4053nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp Demais localidades 0800 880 4053 Na funcao prepago a transferencia de saldo sera automatica para o novo cartao Para o Vale Pedagio nao ha como solicitar o bloqueio Por ser moedeiro eletronico e o credito estar no Chip o valor nao e reembolsado pois funciona como dinheiro de bolso \
Onde posso consultar meus pontos de fidelidade,\Voce pode consultar seus pontos no site clicando aqui \
Qual a anuidade dos Cartoes de Credito Bradesco,\Para consultar a anuidade dos Cartoes de Credito Bradesco escolha aqui a modalidade do seu cartao e verifique Online voce tambem pode conferir as taxas e tarifas dos cartoes \
Posso receber o valor da carta de credito em especie,\Sim o valor do credito pode ser recebido em especie desde que a cota esteja contemplada ha 180 dias e quitada \
Quais as principais vantagens em ser um Correspondente Bradesco Expresso,\Quais as principais vantagens em ser um Correspondente Bradesco Expresso Como correspondente Bradesco Expresso voce tem mais renda e fluxo de consumidores em seu estabelecimento Conte com promocoes divulgacao tecnologia e treinamento de pessoal oferecidos pelo Bradesco Acesse o site e confira as vantagens para os seus clientes \
Qual o prazo para a compensacao de um cheque,\Para cheques de valor igual ou menor a R 29999 o prazo de compensacao e de 2 dias uteis apos o dia do deposito Para valor igual ou maior a R 300 o cheque e compensado em ate 1 dia util apos o dia do deposito Nas Maquinas de Autoatendimento localizadas fora da Agencia os prazos comecam a valer a partir do momento do deposito \
Qual deve ser a garantia da operacao de Leasing,\Aval e outras garantias de acordo com a aprovacao do credito exceto garantia de aplicacao financeira \
Sou acionista do Banco Bradesco e da Bradespar O que devo fazer para saber minha posicao de acoes,\Caso as acoes estejam custodiadas na Bradesco Corretora basta fazer o cadastro no Home Broker e acessar a opcao Posicao Consolidada Entretanto existe a possibilidade de suas acoes encontraremse na Instituicao Depositaria que e o Banco Bradesco SA Neste caso sua posicao acionaria esta na opcao Posicao de Ativos Escriturais tambem no Home Broker \
Como faco para abrir minha conta universitaria no Bradesco,\Preencha uma proposta de abertura de conta online e aguarde nosso contato Voce tambem pode abrir sua conta em qualquer Agencia Bradesco \
Posso fazer transferencias para contas de outros bancos pela conta salario,\Sim voce pode Essa transacao e chamada de TEC e esta disponivel pelo Fone Facil e nas Agencias Bradesco \
Quais os servicos disponiveis no Banco24Horas,\Cliente Bradesco tem a disposicao os servicos de Saque deposito transferencia entre contas DOC e TED pagamentos Conta de consumo cobranca bancaria tributos etc extratos emprestimos investimentos seguros renegociacao de dividas cartao de credito cheques e seguranca Cadastro de biometria senha de 4 digitos letras de acesso ativacao MToken etc  nbsp \
Como posso me cadastrar no DDA  Debito Direto Autorizado,\Voce pode se cadastrar pelo Internet Banking Fone Facil Bradesco nas Maquinas de Autoatendimento ou preencher o Termo de Adesao e entregalo em sua Agencia Bradesco Clique aqui para obter maiores informacoes sobre o DDA \
Quais servicos estao disponiveis na Central de Atendimento Bradesco Cartoes,\Na Central de Atendimento voce consegue solicitar o codigo de ativacao Livelo solicitar informacoes sobre o Programa Fidelidade Bradesco Cartoes e Pontos Livelo e consultar promocoes vigentes \
Qual e o telefone da Central de Relacionamento da Livelo,\Central de Relacionamento Livelo 3004 8858 capitais e regioes metropolitanas ou 0800 757 8858 demais localidades Disponivel das 7h as 23h todos os dias da semana \
Como faco para tirar a restricao do meu CPF,\Para retirar a restricao do seu CPF e necessario realizar o pagamento eou renegociacao de todas as dividas vinculadas ao CPF Apos esse procedimento a restricao e retirada dos contratos renegociados nos orgaos de protecao ao credito em ate 5 dias uteis \
Os valores dos emprestimos sao liberados em quanto tempo,\No CDC Credito Pessoal e Microcredito o valor e creditado no mesmo dia em que foi contratado \
O que e a Taxa de Administracao do investimento,\E o valor que deve ser pago pela prestacao de servico do gestor do administrador e das demais instituicoes presentes na operacionalizacao do dia a dia O valor da taxa que e cobrado anualmente e um percentual calculado sobre o patrimonio liquido do fundo e independente dos rendimentos obtidos pelos cotistas \
E possivel emitir 2 via de boleto bancario via Bradesco Net Empresa,\Sim Acesse o Bradesco Net Empresa e escolha as opcoes Cobranca gt Relatorios gt Consultar Relatorios  Contrato com Carteira 9 gt Titulos Pendentes  2 Via de Boleto \
Quais sao os documentos necessarios para a exclusao do Cadastro de Cheques sem Fundo CCF,\De acordo com a Circular Normativa n 3334 de 05122006 do Banco Central do Brasil os documentos necessarios sao \
Onde posso simular uma operacao de Credito Consignado,\Correntista voce pode simular aqui Se preferir faca pelo Bradesco Celular Fone Facil Bradesco Expresso ou nas Maquinas de Autoatendimento Basta conferir se o canal esta disponivel para o seu convenio Se voce e nao correntista aposentado ou pensionista do INSS consulte um gerente  CREDITO CONSSIGNADO  COMO EU FACO EMPRESTIMO CONSIGNADO  COMO EU FASSO EMPRESTIMO CONSIGNADO  CONTRATAR CONSIGNADO  CONTRATAR CREDITO CONSIGNADO  CREDITO CONCIGNADO  CREDITO CONCIGUINADO  CREDITO CONSIGUINADO  CREDITO CONSSIGUINADO  CREDITO PARA FUNCIONARIO PUBLICO  EMPRESTIMO CONSIGNADO COMO EU FACO  EMPRESTIMO CONSIGUINADO  EMPRESTIMO CONSSIGUINADO  EMPRESTIMO INSS  EMPRETIMO CONSIGNADO  EMPRETIMO CONSIGUINADO  FAZER CONSIGNADO  FAZER CREDITO CONSIGNADO  FAZER EMPRESTIMO CONSIGNADO  FINANCIAMENTO PARA FUNCIONARIO PUBLICO  LIBERACAO DO CREDITO CONSIGNADO  POSSO SOLICITAR CONSIGNADO  POSSO SOLICITAR CREDITO CONSIGNADO  POSSO SOLICITAR CREDITO CONSIGNADO  SIMULAR CONSIGNADO  SIMULAR CREDITO CONSIGNADO  SIMULAR EMPRESTIMO CONSIGNADO  SOLICITAR CONSIGNADO  SOLICITAR CREDITO CONSIGNADO cartao consignado Simular  Solicitar Credito Pessoal Consignado  \
Como e quando e realizada a baixa do gravame,\A Baixa do Gravame e realizada de forma automatica em ate cinco dias apos a quitacao do contrato de financiamento nas modalidades CDC e LeasingArrendamento Mercantil \
Nao tenho meu numero de cota e grupo,\Para mais informacoes sobre seu Grupo e Cota ligue para a Central de Atendimento atraves do telefonenbsp40044436 Capitais e Regioes Metropolitanas ou 08007224436 demais localidades nbsp \
O que fazer em caso de perda ou roubo do cartao,\Voce precisa bloquear imediatamentenbspo seu cartao por medidas de seguranca Assim voce evita despesas feitas por terceirosnbspPor favor entre em contato por meionbspdo nosso site pelo Fale Conosco ou ligue para a Central de Atendimento Tenha em maos o seu CPF para realizar o bloqueio do cartao \
